Time,Jitter,PacketLoss
0.02,0.00,1536
0.05,0.00,61694
0.08,0.00,63229
0.12,0.01,61692
0.15,0.01,61947
0.18,0.01,2299
0.21,0.01,58361
0.24,0.01,62456
0.27,0.02,64503
0.31,0.02,1783
0.34,0.02,4086
0.37,0.02,245
0.40,0.02,500
0.43,0.03,65266
0.46,0.03,754
0.50,0.03,7665
0.53,0.03,59375
0.56,0.03,1519
0.59,0.04,1006
0.62,0.04,63980
0.65,0.04,60395
0.69,0.04,491
0.72,0.04,63721
0.75,0.05,65512
0.78,0.05,2024
0.81,0.05,64486
0.84,0.05,2790
0.87,0.05,62180
0.90,0.06,3044
0.94,0.06,60642
0.97,0.06,61153
1.00,0.06,62432
1.03,0.06,64223
1.06,0.07,60382
1.09,0.07,1502
1.12,0.07,57564
1.16,0.07,59355
1.19,0.07,63194
1.22,0.07,4314
1.26,0.08,4569
1.30,0.08,65495
1.33,0.08,-41
1.36,0.08,1238
1.39,0.09,62932
1.42,0.09,60627
1.45,0.09,723
1.49,0.09,3794
1.52,0.09,465
1.55,0.10,976
1.58,0.10,65486
1.61,0.10,1486
1.64,0.10,60620
1.67,0.10,2764
1.71,0.11,63434
1.74,0.11,64969
1.77,0.11,40902
1.80,0.11,3020
1.83,0.11,28101
1.86,0.12,31429
1.89,0.12,56773
1.93,0.12,4806
1.96,0.12,39875
1.99,0.12,26820
2.02,0.13,63679
2.05,0.13,52416
2.08,0.13,3003
2.12,0.13,61371
2.15,0.13,48568
2.18,0.13,28088
2.21,0.14,38590
2.24,0.14,52925
2.27,0.14,59835
2.30,0.14,25528
2.34,0.14,25524
2.37,0.15,41145
2.40,0.15,39864
2.43,0.15,20657
2.46,0.15,30639
2.49,0.15,50352
2.53,0.16,26035
2.56,0.16,51119
2.59,0.16,59053
2.62,0.16,20141
2.65,0.16,30126
2.68,0.17,39850
2.71,0.17,49064
2.74,0.17,10155
2.78,0.17,3497
2.81,0.17,22187
2.84,0.18,20137
2.87,0.18,38568
2.90,0.18,424
2.93,0.18,17318
2.96,0.18,45731
3.00,0.19,64159
3.03,0.19,43679
3.06,0.19,53411
3.09,0.19,52894
3.12,0.19,2205
3.15,0.20,63903
3.19,0.20,41370
3.22,0.20,14232
3.25,0.20,54426
3.28,0.20,61338
3.31,0.21,42904
3.34,0.21,55447
3.37,0.21,38293
3.40,0.21,49558
3.43,0.21,9874
3.47,0.22,5527
3.50,0.22,46227
3.53,0.22,41874
3.56,0.22,39054
3.59,0.22,44428
3.62,0.23,21391
3.65,0.23,18062
3.69,0.23,2442
3.72,0.23,19848
3.75,0.23,35213
3.78,0.23,5515
3.81,0.24,27270
3.84,0.24,27780
3.89,0.24,18055
3.92,0.24,60805
3.95,0.25,43397
3.98,0.25,29827
4.01,0.25,2946
4.05,0.25,25731
4.08,0.25,39553
4.11,0.26,10113
4.14,0.26,56188
4.17,0.26,59770
4.20,0.26,35965
4.23,0.26,34170
4.27,0.27,35450
4.30,0.27,61562
4.33,0.27,64376
4.36,0.27,42873
4.39,0.27,2169
4.42,0.28,30835
4.46,0.28,29554
4.49,0.28,40050
4.52,0.28,3954
4.55,0.28,3697
4.58,0.28,1392
4.61,0.29,1647
4.64,0.29,4718
4.67,0.29,24927
4.70,0.29,52061
4.74,0.29,43883
4.77,0.30,57193
4.80,0.30,62056
4.83,0.30,61799
4.87,0.30,64614
4.89,0.30,3174
4.93,0.31,58212
4.96,0.31,61539
4.99,0.31,63842
5.02,0.31,6242
5.05,0.31,62304
5.08,0.32,608
5.12,0.32,62046
5.15,0.32,4702
5.18,0.32,2653
5.21,0.32,2652
5.24,0.33,62042
5.27,0.33,64601
5.30,0.33,-167
5.34,0.33,5976
5.37,0.33,63574
5.40,0.34,598
5.43,0.34,62036
5.46,0.34,1108
5.49,0.34,-173
5.52,0.34,4434
5.56,0.35,63312
5.59,0.35,63823
5.62,0.35,79
5.65,0.35,2638
5.68,0.35,5965
5.71,0.36,62283
5.74,0.36,-181
5.78,0.36,64585
5.81,0.36,3145
5.84,0.36,64327
5.87,0.37,3911
5.90,0.37,63813
5.93,0.37,1605
5.97,0.37,64579
6.00,0.37,323
6.03,0.38,7746
6.06,0.38,65088
6.09,0.38,65087
6.12,0.38,63294
6.15,0.38,60733
6.18,0.39,1597
6.22,0.39,3388
6.25,0.39,61754
6.28,0.39,7226
6.31,0.39,64312
6.34,0.40,64055
6.37,0.40,64054
6.40,0.40,65333
6.44,0.40,-203
6.47,0.40,61491
6.50,0.40,1587
6.53,0.41,3634
6.56,0.41,7473
6.59,0.41,64047
6.62,0.41,2095
6.65,0.41,558
6.68,0.42,60204
6.72,0.42,2604
6.75,0.42,4395
6.78,0.42,3370
6.81,0.42,2345
6.84,0.43,9256
6.87,0.43,4647
6.90,0.43,62245
6.93,0.43,60708
6.97,0.43,2596
7.00,0.44,60962
7.03,0.44,2338
7.06,0.44,64800
7.09,0.44,6432
7.12,0.44,61726
7.15,0.45,63005
7.18,0.45,63772
7.21,0.45,62235
7.25,0.45,6427
7.28,0.45,61209
7.31,0.46,58392
7.34,0.46,6168
7.37,0.46,535
7.40,0.46,59157
7.43,0.46,533
7.47,0.47,64787
7.50,0.47,5907
7.53,0.47,5394
7.56,0.47,7953
7.59,0.47,2320
7.62,0.48,63758
7.66,0.48,6158
7.69,0.48,781
7.72,0.48,780
7.75,0.48,61450
7.78,0.48,7434
7.81,0.49,3337
7.84,0.49,3336
7.88,0.49,62214
7.91,0.49,1030
7.94,0.49,60676
7.97,0.50,516
8.00,0.50,1027
8.03,0.50,2306
8.06,0.50,65280
8.09,0.50,64767
8.12,0.51,1791
8.16,0.51,254
8.19,0.51,64764
8.22,0.51,-260
8.25,0.51,61690
8.28,0.52,1274
8.31,0.52,3321
8.34,0.52,63735
8.37,0.52,2039
8.41,0.52,63477
8.44,0.53,245
8.47,0.53,61939
8.50,0.53,60146
8.53,0.53,63985
8.56,0.53,63728
8.60,0.54,61423
8.63,0.54,61934
8.66,0.54,62445
8.69,0.54,65004
8.72,0.54,1260
8.75,0.55,2795
8.78,0.55,60393
8.81,0.55,63976
8.84,0.55,62695
8.88,0.55,61926
8.91,0.56,61925
8.94,0.56,5605
8.97,0.56,63715
9.00,0.56,58594
9.03,0.56,482
9.06,0.57,60128
9.09,0.57,480
9.12,0.57,1247
9.16,0.57,60637
9.19,0.57,989
9.22,0.57,62171
9.25,0.58,-293
9.28,0.58,474
9.31,0.58,65240
9.34,0.58,60631
9.39,0.59,2775
9.42,0.59,62677
9.45,0.59,64724
9.48,0.59,2004
9.52,0.59,2003
9.55,0.60,57809
9.58,0.60,61904
9.61,0.60,61391
9.64,0.60,719
9.67,0.60,61645
9.70,0.60,-51
9.73,0.61,716
9.76,0.61,62410
9.79,0.61,1482
9.82,0.61,64200
9.86,0.61,64199
9.89,0.62,199
9.92,0.62,-314
9.95,0.62,58308
9.98,0.62,62915
10.01,0.62,1219
10.04,0.63,61889
10.07,0.63,5569
10.11,0.63,3264
10.14,0.63,63422
10.17,0.63,63677
10.20,0.64,-323
10.23,0.64,1724
10.26,0.64,-69
10.29,0.64,59833
10.33,0.64,4537
10.36,0.65,952
10.39,0.65,439
10.42,0.65,1974
10.45,0.65,693
10.48,0.65,3252
10.52,0.66,60338
10.55,0.66,64945
10.58,0.66,63664
10.61,0.66,63407
10.64,0.66,63150
10.67,0.67,430
10.71,0.67,63916
10.74,0.67,62123
10.77,0.67,1451
10.80,0.67,1962
10.83,0.68,60584
10.86,0.68,1448
10.90,0.68,62630
10.93,0.68,4774
10.96,0.68,62116
10.99,0.69,61603
11.02,0.69,4003
11.05,0.69,63905
11.08,0.69,2721
11.12,0.69,64415
11.15,0.70,64926
11.18,0.70,62109
11.21,0.70,64924
11.24,0.70,8092
11.27,0.70,2715
11.30,0.71,922
11.33,0.71,1689
11.37,0.71,63127
11.40,0.71,1687
11.43,0.71,662
11.46,0.71,57748
11.49,0.72,62611
11.52,0.72,59794
11.56,0.72,61841
11.59,0.72,3985
11.62,0.72,65167
11.65,0.73,62350
11.68,0.73,1166
11.71,0.73,60556
11.74,0.73,60811
11.77,0.73,64138
11.81,0.74,3722
11.84,0.74,137
11.87,0.74,1672
11.90,0.74,903
11.93,0.74,1158
11.96,0.75,2949
11.99,0.75,65155
12.03,0.75,2691
12.06,0.75,898
12.09,0.75,64896
12.12,0.76,2432
12.17,0.76,3711
12.20,0.76,126
12.23,0.76,5757
12.26,0.77,6524
12.29,0.77,64890
12.32,0.77,63609
12.36,0.77,56696
12.39,0.77,1400
12.42,0.77,63606
12.45,0.78,60789
12.48,0.78,3957
12.51,0.78,61555
12.55,0.78,63346
12.58,0.78,10610
12.61,0.79,64880
12.64,0.79,3696
12.67,0.79,64366
12.70,0.79,61293
12.73,0.79,63852
12.77,0.80,63083
12.80,0.80,4715
12.83,0.80,58985
12.86,0.80,64104
12.89,0.80,616
12.92,0.81,2151
12.96,0.81,60773
12.99,0.81,101
13.02,0.81,65123
13.05,0.81,2659
13.08,0.82,63329
13.11,0.82,64608
13.14,0.82,64351
13.17,0.82,64606
13.21,0.82,1630
13.24,0.83,60252
13.27,0.83,1628
13.30,0.83,2651
13.33,0.83,3162
13.36,0.83,57176
13.40,0.84,344
13.43,0.84,63062
13.46,0.84,3158
13.49,0.84,7253
13.52,0.84,1108
13.55,0.85,59218
13.58,0.85,61521
13.61,0.85,59472
13.65,0.85,2640
13.68,0.85,63310
13.71,0.86,62029
13.74,0.86,3149
13.77,0.86,64843
13.80,0.86,60490
13.83,0.86,64073
13.87,0.87,63816
13.90,0.87,64071
13.93,0.87,64326
13.96,0.87,61765
13.99,0.87,58436
14.02,0.88,57155
14.05,0.88,58434
14.08,0.88,1602
14.12,0.88,2881
14.15,0.88,832
14.18,0.88,2623
14.21,0.89,62269
14.24,0.89,63548
14.27,0.89,2620
14.30,0.89,60218
14.34,0.89,62009
14.37,0.90,62776
14.40,0.90,61751
14.43,0.90,63542
14.46,0.90,63797
14.49,0.90,65076
14.53,0.91,64563
14.56,0.91,1843
14.59,0.91,64049
14.62,0.91,65072
14.65,0.91,6192
14.68,0.92,815
14.71,0.92,62509
14.74,0.92,301
14.78,0.92,1580
14.81,0.92,63786
14.84,0.93,2858
14.87,0.93,2345
14.90,0.93,60967
14.93,0.93,62246
14.96,0.93,60453
15.00,0.94,3877
15.05,0.94,-220
15.07,0.94,2851
15.11,0.94,64033
15.14,0.94,-223
15.17,0.95,2848
15.20,0.95,7711
15.23,0.95,64797
15.26,0.95,63004
15.29,0.95,65051
15.33,0.96,3355
15.36,0.96,59161
15.39,0.96,1305
15.42,0.96,-488
15.45,0.96,1303
15.48,0.97,2326
15.51,0.97,62996
15.55,0.97,788
15.58,0.97,-493
15.61,0.97,786
15.64,0.98,1809
15.67,0.98,58895
15.70,0.98,61198
15.73,0.98,64013
15.77,0.98,1549
15.80,0.99,-244
15.83,0.99,64522
15.86,0.99,3594
15.89,0.99,64264
15.92,0.99,63239
15.95,1.00,519
15.98,1.00,1798
16.02,1.00,773
16.05,1.00,2052
16.08,1.00,60930
16.11,1.01,63233
16.14,1.01,60416
16.17,1.01,1792
16.21,1.01,-1
16.24,1.01,63741
16.27,1.02,5629
16.30,1.02,2812
16.33,1.02,65018
16.36,1.02,63225
16.39,1.02,249
16.42,1.03,-8
16.46,1.03,4087
16.49,1.03,60917
16.52,1.03,61940
16.55,1.03,3060
16.58,1.04,1011
16.61,1.04,60657
16.65,1.04,2545
16.68,1.04,62191
16.71,1.04,4847
16.74,1.05,3054
16.77,1.05,63980
16.80,1.05,-276
16.83,1.05,60394
16.87,1.05,3818
16.90,1.05,63208
16.93,1.06,-280
16.96,1.06,59110
16.99,1.06,-538
17.02,1.06,4069
17.06,1.06,996
17.09,1.07,63970
17.12,1.07,1506
17.15,1.07,225
17.18,1.07,2528
17.21,1.07,2271
17.24,1.08,1502
17.27,1.08,1245
17.30,1.08,3292
17.34,1.08,2011
17.37,1.08,474
17.40,1.09,3289
17.43,1.09,64983
17.46,1.09,1751
17.49,1.09,64725
17.52,1.09,213
17.56,1.10,62675
17.59,1.10,63698
17.62,1.10,64721
17.65,1.10,-47
17.68,1.10,60623
17.71,1.11,60110
17.74,1.11,718
17.78,1.11,2509
17.81,1.11,716
17.84,1.11,1739
17.87,1.12,64457
17.93,1.12,63944
17.96,1.12,64455
18.00,1.12,61638
18.03,1.13,-58
18.06,1.13,4037
18.09,1.13,61891
18.12,1.13,60866
18.15,1.13,1730
18.19,1.14,-319
18.22,1.14,61631
18.25,1.14,4799
18.28,1.14,61629
18.31,1.14,64700
18.34,1.15,1724
18.37,1.15,64954
18.40,1.15,64953
18.44,1.15,5049
18.47,1.15,184
18.50,1.15,62134
18.53,1.16,5046
18.56,1.16,61620
18.59,1.16,-76
18.62,1.16,2483
18.66,1.16,434
18.69,1.17,5809
18.72,1.17,64943
18.75,1.17,64942
18.78,1.17,7342
18.81,1.17,63916
18.85,1.18,5292
18.88,1.18,5547
18.91,1.18,2986
18.94,1.18,62632
18.97,1.18,63655
19.00,1.19,1959
19.03,1.19,62117
19.07,1.19,677
19.10,1.19,4516
19.13,1.19,53410
19.16,1.20,57761
19.19,1.20,63648
19.22,1.20,4512
19.26,1.20,63902
19.29,1.20,926
19.32,1.21,669
19.35,1.21,63131
19.38,1.21,59546
19.41,1.21,53657
19.44,1.21,60824
19.48,1.22,1176
19.51,1.22,62358
19.54,1.22,61077
19.57,1.22,1173
19.60,1.22,64147
19.63,1.23,1171
19.66,1.23,63121
19.69,1.23,145
19.73,1.23,63631
19.76,1.23,59790
19.79,1.24,60813
19.82,1.24,63884
19.85,1.24,2956
19.88,1.24,5515
19.91,1.24,1162
19.94,1.25,3977
19.97,1.25,61831
20.01,1.25,2951
20.04,1.25,6790
20.07,1.25,62596
20.10,1.25,60547
20.13,1.26,1411
20.16,1.26,4738
20.19,1.26,63616
20.22,1.26,2176
20.26,1.26,63614
20.29,1.27,638
20.32,1.27,64124
20.35,1.27,62075
20.38,1.27,60282
20.41,1.27,2426
20.45,1.28,3193
20.48,1.28,632
20.51,1.28,61558
20.54,1.28,62325
20.57,1.28,61812
20.60,1.29,1140
20.63,1.29,60786
20.67,1.29,3442
20.70,1.29,64368
20.73,1.29,1648
20.76,1.30,63854
20.79,1.30,62061
20.82,1.30,1133
20.86,1.30,61291
20.89,1.30,1387
20.92,1.31,1130
20.95,1.31,2409
